ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
219545_at	NDUFC2-KCTD14///KCTD14	NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14	2.298	3.066
219550_at	ROBO3	roundabout guidance receptor 3	2.554	16.089
219551_at	EAF2	ELL associated factor 2	-1.271	2.03
219555_s_at	CENPN	centromere protein N	-2.318	8.173
219561_at	COPZ2	coatomer protein complex subunit zeta 2	1.326	3.052
219562_at	RAB26	"RAB26, member RAS oncogene family"	-1.834	3.372
219563_at	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341	3.224	9.655
219565_at	CYP20A1	cytochrome P450 family 20 subfamily A member 1	-1.464	8.019
219566_at	PLEKHF1	pleckstrin homology and FYVE domain containing 1	1.285	5.337
219571_s_at	ZNF12	zinc finger protein 12	-1.131	7.11
219579_at	RAB3IL1	RAB3A interacting protein like 1	1.083	9.607
219580_s_at	TMC5	transmembrane channel like 5	-2.001	2.42
219581_at	TSEN2	tRNA splicing endonuclease subunit 2	-1.113	3.266
219587_at	TTC12	tetratricopeptide repeat domain 12	1.061	2.297
219588_s_at	NCAPG2	non-SMC condensin II complex subunit G2	-1.905	8.277
219590_x_at	DPH5	diphthamide biosynthesis 5	1.052	5.099
219593_at	SLC15A3	solute carrier family 15 member 3	-1.496	3.703
219594_at	NINJ2	ninjurin 2	-1.207	2.751
219599_at	EIF4B	eukaryotic translation initiation factor 4B	-1.054	2.575
219600_s_at	TMEM50B	transmembrane protein 50B	-2.66	11.35
219607_s_at	MS4A4A	membrane spanning 4-domains A4A	-2.479	3.535
219612_s_at	FGG	fibrinogen gamma chain	-2.799	1.641
219622_at	RAB20	"RAB20, member RAS oncogene family"	-1.572	7.832
219628_at	ZMAT3	zinc finger matrin-type 3	-1.115	2.481
219633_at	TTPAL	alpha tocopherol transfer protein like	-2.639	18.228
219634_at	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	-2.313	8.302
219639_x_at	PARP6	poly(ADP-ribose) polymerase family member 6	1.038	5.426
219644_at	CEP83	centrosomal protein 83	-1.024	3.531
219646_at	DEF8	differentially expressed in FDCP 8 homolog	-1.083	3.737
219648_at	MREG	melanoregulin	-1.158	3.537
219649_at	ALG6	"ALG6, alpha-1,3-glucosyltransferase"	-1.915	6.113
219653_at	LSM14B	LSM family member 14B	-1.88	9.803
219656_at	PCDH12	protocadherin 12	1.174	4.709
219662_at	C2orf49	chromosome 2 open reading frame 49	-1.759	9.154
219670_at	BEND5	BEN domain containing 5	2.19	10.991
219673_at	MCM9	minichromosome maintenance 9 homologous recombination repair factor	-1.665	6.428
219675_s_at	UXS1	UDP-glucuronate decarboxylase 1	-1.966	11.425
219679_s_at	WAC	WW domain containing adaptor with coiled-coil	-4.511	13.741
219681_s_at	RAB11FIP1	RAB11 family interacting protein 1	-2.005	3.952
219689_at	SEMA3G	semaphorin 3G	5.068	17.77
219691_at	SAMD9	sterile alpha motif domain containing 9	-1.921	4.594
219696_at	DENND1B	DENN domain containing 1B	-2.034	7.246
219698_s_at	METTL4	methyltransferase like 4	-1.073	3.924
219711_at	ZNF586	zinc finger protein 586	-1.867	5.845
219715_s_at	TDP1	tyrosyl-DNA phosphodiesterase 1	-1.561	7.316
219722_s_at	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	1.504	8.638
219725_at	TREM2	triggering receptor expressed on myeloid cells 2	-1.369	3.18
219734_at	SIDT1	SID1 transmembrane family member 1	-2.537	5.382
219737_s_at	PCDH9	protocadherin 9	1.984	6.227
219743_at	HEY2	hes related family bHLH transcription factor with YRPW motif 2	1.933	4.151
219757_s_at	TMEM260	transmembrane protein 260	-1.835	7.402
219762_s_at	RPL36	ribosomal protein L36	1.057	5.931
219771_at	TBC1D8B	TBC1 domain family member 8B	-1.493	4.446
219773_at	NOX4	NADPH oxidase 4	-1.824	3.733
