ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
1558254_s_at	SRPK2	SRSF protein kinase 2	-3.673	19.39
1558292_s_at	PIGW	phosphatidylinositol glycan anchor biosynthesis class W	-1.826	4.635
1558299_at			1.3	9.208
1558323_at	TMEM72	transmembrane protein 72	1.091	10.765
1558348_at	DET1	de-etiolated homolog 1 (Arabidopsis)	1.068	6.826
1558365_at	PGK1	phosphoglycerate kinase 1	-1.318	2.073
1558410_s_at			1.541	5.407
1558444_at			3.36	17.496
1558448_a_at			1.202	3.916
1558511_s_at	ESYT2	extended synaptotagmin 2	-1.38	6.525
1558515_at	FTX	"FTX transcript, XIST regulator (non-protein coding)"	-2.186	6.15
1558561_at	HM13	histocompatibility minor 13	-1.947	10.005
1558569_at	LOC100131541	uncharacterized LOC100131541	2.069	7.132
1558605_at			2.338	4.921
1558626_at			1.04	9.26
1558675_s_at	NEMF	nuclear export mediator factor	-1.121	5.22
1558693_s_at	GLMP	glycosylated lysosomal membrane protein	-1.239	4.497
1558700_s_at	ZNF260	zinc finger protein 260	-1.272	6.567
1558727_at	SERP2	stress-associated endoplasmic reticulum protein family member 2	1.07	12.04
1558777_at	MKL2	MKL1/myocardin like 2	1.002	8.8
1558815_at	SORBS2	sorbin and SH3 domain containing 2	1.157	2.162
1558816_at	ZNF664	zinc finger protein 664	-1.388	4.615
1558828_s_at	CARMN	cardiac mesoderm enhancer-associated non-coding RNA	3.37	9.693
1558830_at			1.053	11.068
1558836_at			-2.061	9.896
1558837_a_at			-2.228	7.758
1558906_a_at	OSER1-AS1	OSER1 antisense RNA 1 (head to head)	1.446	7.69
1558922_at			-2.341	8.404
1558937_s_at			-2.131	2.686
1558943_x_at	ZNF765	zinc finger protein 765	-1.099	4.713
1558996_at	FOXP1	forkhead box P1	-1.339	4.655
1559025_at	Sep 09	septin 9	-2.568	7.463
1559052_s_at	PAK2	p21 (RAC1) activated kinase 2	-3.412	17.561
1559078_at			2.238	2.835
1559094_at	FBXO9	F-box protein 9	-1.596	5.719
1559096_x_at	FBXO9	F-box protein 9	-2.341	8.698
1559117_at			-1.523	3.139
1559119_at			-1.2	3.107
1559126_at	RRP12	ribosomal RNA processing 12 homolog	1.08	12.446
1559127_x_at	RRP12	ribosomal RNA processing 12 homolog	1.019	11.114
1559128_at	HSDL2	hydroxysteroid dehydrogenase like 2	1.042	8.335
1559170_at	ANKRD20A5P	"ankyrin repeat domain 20 family member A5, pseudogene"	2.897	9.715
1559204_x_at	KRAS	"KRAS proto-oncogene, GTPase"	1.101	8.107
1559220_at	LOC101929054	uncharacterized LOC101929054	1.1	10.119
1559232_a_at			-1.326	6.345
1559282_at			1.138	5.725
1559394_a_at			1.509	5.767
1559397_s_at	PRR14	proline rich 14	-2.352	13.251
1559399_s_at	ZCCHC10	zinc finger CCHC-type containing 10	-2.555	8.859
1559400_s_at	PAPPA	pappalysin 1	1.101	5.711
1559401_a_at			-2.735	14.159
1559410_at			1.567	4.746
1559413_at	TCP11L2	t-complex 11 like 2	1.454	11.856
1559449_a_at	ZNF254	zinc finger protein 254	-1.062	3.358
1559467_at			1.914	13.416
1559500_at	VPS8	"VPS8, CORVET complex subunit"	-3.408	12.543
1559545_at	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW	"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"	1.162	8.578
1559591_s_at	CHDH	choline dehydrogenase	2.109	11.825
1559688_at	GRAPL	GRB2 related adaptor protein like	1.22	5.565
1559739_at	CHPT1	choline phosphotransferase 1	2.08	6.795
1559822_s_at	MTDH	metadherin	-1.95	8.927
1559881_s_at	ZNF12	zinc finger protein 12	-3.568	11.584
1559901_s_at	MIR99AHG	mir-99a-let-7c cluster host gene	1.209	5.424
1559910_at			1.909	7.202
1559954_s_at	DDX42	DEAD-box helicase 42	-3.227	9.404
1559960_x_at	SYCE1L	synaptonemal complex central element protein 1 like	1.714	7.378
1560025_at			2.175	7.125
1560049_at			3.496	15.249
1560081_at	RAD51-AS1	RAD51 antisense RNA 1 (head to head)	2.99	20.509
1560128_x_at	C5orf56	chromosome 5 open reading frame 56	1.025	4.721
1560144_at			5.521	17.114
1560296_at			1.221	7.992
1560332_at			-1.369	4.491
1560339_s_at	NAP1L4	nucleosome assembly protein 1 like 4	-1.405	6.178
1560342_at			-4.013	19.504
1560386_at			-1.139	8.205
1560391_at	PIGL	phosphatidylinositol glycan anchor biosynthesis class L	1.3	6.148
1560500_at			1.981	8.431
1560562_a_at	ZNF677	zinc finger protein 677	1.61	4.747
1560622_at			-2.452	9.408
1560754_at	CMTM7	CKLF like MARVEL transmembrane domain containing 7	2.394	14.103
1561346_at	LOC101927166	uncharacterized LOC101927166	1.357	11.456
1561394_s_at	KIAA1755	KIAA1755	1.598	7.009
1561640_at			-1.167	4.324
1561689_at			-2.138	6.2
1561754_at			5.926	28.863
1562010_x_at			1.211	10.897
1562144_at			1.664	11.158
1562201_x_at			1.061	8.109
1562235_s_at			-1.766	3.658
1562265_at			-1.178	3.849
1562321_at	PDK4	pyruvate dehydrogenase kinase 4	2.06	6.721
1562527_at	LOC441666	zinc finger protein 91 pseudogene	5.49	23.951
1562573_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	1.105	11.118
1562608_at			1.427	4.286
1562755_at			5.582	20.299
1562836_at	DDX6	DEAD-box helicase 6	-1.296	4.352
1562848_at	IST1	"IST1, ESCRT-III associated factor"	1.009	6.912
1562979_at			1.027	9.172
1563022_at	CCDC160	coiled-coil domain containing 160	-1.201	2.036
1563034_at	GPD1	glycerol-3-phosphate dehydrogenase 1	1.767	11.276
1563111_a_at	PIGX	phosphatidylinositol glycan anchor biosynthesis class X	-3.322	14.836
1563120_at	LOC100131270///LOC100129029	uncharacterized LOC100131270///uncharacterized LOC100129029	-1.133	1.916
1563182_at	ACVR1C	activin A receptor type 1C	2.925	11.305
1563209_a_at	MACROD2	MACRO domain containing 2	1.526	5.559
1563228_x_at	SLC38A10	solute carrier family 38 member 10	-1.023	3.597
1563259_at			-1.215	5.315
1563321_s_at	MLLT10	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"	-1.251	4.621
1563426_a_at			1.452	6.999
1563431_x_at			1.155	7.928
1563455_at	SIK3	SIK family kinase 3	1.074	6.164
1563497_at	USP25	ubiquitin specific peptidase 25	-1.347	4.194
1563498_s_at	SLC25A45	solute carrier family 25 member 45	1.494	10.515
1563512_at	NOS1AP	nitric oxide synthase 1 adaptor protein	1.186	10.95
1563621_at			2.078	7.912
1563635_at	ITGA9-AS1	ITGA9 antisense RNA 1	1.477	10.078
1563646_a_at	TMEM67	transmembrane protein 67	1.532	4.972
1563649_at			1.041	4.441
1563674_at	FCRL2	Fc receptor like 2	2.009	8.081
1563881_at	MAGI1	"membrane associated guanylate kinase, WW and PDZ domain containing 1"	1.399	14.712
1563906_at	SOBP	sine oculis binding protein homolog	1.378	7.016
1564053_a_at	YTHDF3	YTH N6-methyladenosine RNA binding protein 3	-3.301	7.121
1564064_a_at	ATP11B	ATPase phospholipid transporting 11B (putative)	-2.215	6.026
1564164_at	DENND1B	DENN domain containing 1B	-1.805	5.573
1564248_at			-1.39	3.472
1564277_a_at	LOC101929583///LOC101928195///LOC100996643///LOC100133920///LOC286297	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene"	1.1	9.484
1564358_at			1.113	2.395
1564378_a_at			-1.011	2.44
1564494_s_at	P4HB	prolyl 4-hydroxylase subunit beta	-6.184	17.626
1564525_at	GSN	gelsolin	2.085	10.515
1564547_x_at			1.167	11.578
1564876_s_at	FOXP2	forkhead box P2	1.057	8.955
1565162_s_at	MGST1	microsomal glutathione S-transferase 1	-2.452	4.951
1565269_s_at	ATF1	activating transcription factor 1	-2.461	15.266
1565358_at	RARA	retinoic acid receptor alpha	2.367	8.938
1565566_a_at			-1.515	4.137
1565597_at			-1.403	3.787
1565638_at	PMP22	peripheral myelin protein 22	1.03	5.888
1565639_a_at	PMP22	peripheral myelin protein 22	2.732	7.256
1565651_at			-1.096	3.135
1565681_s_at	DIP2C	disco interacting protein 2 homolog C	-1.484	5.309
1565717_s_at	FUS	FUS RNA binding protein	-6.088	19.612
1565786_x_at	FLJ45482	uncharacterized LOC645566	1.374	4.348
1565804_at			-1.803	5.418
1565863_at			-1.602	5.463
1565886_at			-1.937	5.593
1565951_s_at	CHML	"CHM like, Rab escort protein 2"	-2.618	8.048
1566079_at	RPS16P5	ribosomal protein S16 pseudogene 5	1.039	2.539
1566113_at			-1.141	4.974
1566145_s_at	LOC101930100///LOC101928669///LOC644450	uncharacterized LOC101930100///uncharacterized LOC101928669///uncharacterized LOC644450	2.028	13.222
1566191_at	SUZ12	SUZ12 polycomb repressive complex 2 subunit	-1.765	3.831
1566232_at			1.416	7.988
1566303_s_at	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	-3.855	12.647
1566342_at	SOD2	"superoxide dismutase 2, mitochondrial"	1.629	5.836
1566424_at			1.352	6.916
1566442_at			-1.196	2.181
1566465_at	KCNK1	potassium two pore domain channel subfamily K member 1	-1.968	6.471
1566472_s_at	LOC100996506///RETSAT	uncharacterized LOC100996506///retinol saturase	-1.509	2.659
1566509_s_at	FBXO9	F-box protein 9	-2.082	9.127
1566539_at	MAGI1	"membrane associated guanylate kinase, WW and PDZ domain containing 1"	1.754	5.805
1566544_at	PPP5D1	PPP5 tetratricopeptide repeat domain containing 1	1.07	9.437
1566557_at	BAIAP2-AS1	BAIAP2 antisense RNA 1 (head to head)	2.226	4.785
1566558_x_at	BAIAP2-AS1	BAIAP2 antisense RNA 1 (head to head)	1.195	3.338
1566764_at	MACC1	metastasis associated in colon cancer 1	-2.209	4.677
1566766_a_at	MACC1	metastasis associated in colon cancer 1	-1.819	3.266
1566785_x_at	NSF	"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"	1.223	2.892
1566880_at			1.738	2.981
1566901_at	TGIF1	TGFB induced factor homeobox 1	-2.594	5.772
1566968_at	SPRY4-IT1	SPRY4 intronic transcript 1	-1.981	3.473
1567014_s_at	NFE2L2///CSNK2A1	"nuclear factor, erythroid 2 like 2///casein kinase 2 alpha 1"	-1.306	4.931
1567032_s_at	ZNF160	zinc finger protein 160	-1.013	2.365
1567107_s_at	TPM4	tropomyosin 4	-2.241	10.554
1567458_s_at	RAC1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	-3.491	11.928
1567628_at	CD74	CD74 molecule	-2.936	5.863
1567913_at			1.436	4.299
1567997_x_at			1.557	5.098
1568249_at	SNHG17///SNORA71B	"small nucleolar RNA host gene 17///small nucleolar RNA, H/ACA box 71B"	1.123	6.994
1568377_x_at	DEFB124	defensin beta 124	2.166	10.208
1568609_s_at	LOC103091866///LINC00623///LINC01138///LINC00869	uncharacterized LOC103091866///long intergenic non-protein coding RNA 623///long intergenic non-protein coding RNA 1138///long intergenic non-protein coding RNA 869	-1.194	2.942
1568617_a_at	CAMSAP3	calmodulin regulated spectrin associated protein family member 3	-1.611	5.305
1568618_a_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	-1.717	7.348
1568678_s_at	FGFR1OP	FGFR1 oncogene partner	-2.609	10.759
1568760_at	MYH11	myosin heavy chain 11	1.504	6.344
1568763_s_at	LOC102724884///LOC728613///PDCD6	uncharacterized LOC102724884///programmed cell death 6 pseudogene///programmed cell death 6	-1.38	8.183
1568765_at	SERPINE1	serpin family E member 1	-2.556	3.841
1568779_a_at	ECM2	extracellular matrix protein 2	1.29	6.695
1568780_at	LOC729732	uncharacterized LOC729732	1.674	4.646
1568865_at	FNTB	"farnesyltransferase, CAAX box, beta"	-1.109	2.847
1568925_at	MYLK3	myosin light chain kinase 3	1.016	9.966
1568954_s_at	C16orf72	chromosome 16 open reading frame 72	-3.409	21.95
1569003_at	VMP1	vacuole membrane protein 1	-6.006	19.434
1569053_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	-1.139	3.73
1569057_s_at	MIA3	"MIA family member 3, ER export factor"	-3.067	12.113
1569106_s_at	SETD5	SET domain containing 5	-4.268	17.456
1569110_x_at	LOC728613	programmed cell death 6 pseudogene	-1.486	1.704
1569111_at	SOX13	SRY-box 13	-1.051	2.397
1569112_at	SLC44A5	solute carrier family 44 member 5	-1.599	1.971
1569129_s_at	C3orf38	chromosome 3 open reading frame 38	1.036	3.499
1569142_at	TRIM13	tripartite motif containing 13	-1.917	6.685
1569200_at			1.99	12.414
1569202_x_at			1	6.99
1569312_at			-1.933	6.84
1569320_at	GPBP1L1	GC-rich promoter binding protein 1 like 1	-1.765	6.138
1569348_at	LOC102725451///TPTEP1	uncharacterized LOC102725451///transmembrane phosphatase with tensin homology pseudogene 1	1.636	11.223
1569362_at	ALCAM	activated leukocyte cell adhesion molecule	-2.222	3.085
1569472_s_at	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3	-1.558	4.531
1569527_at			-1.596	8.533
1569540_at			-1.345	4.375
1569607_s_at	LOC102725051///LOC102723891///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A11P///ANKRD20A9P///ANKRD20A1	"uncharacterized LOC102725051///ankyrin repeat domain-containing protein 20B-like///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A11, pseudogene///ankyrin repeat domain 20 family member A9, pseudogene///ankyrin repeat domain 20 family member A1"	2.911	5.253
1569608_x_at	LOC105379426	ankyrin repeat domain-containing protein 20A2	2.826	17.103
1569609_at			3.725	13.273
1569664_at			2.786	11.091
1569872_a_at	LMF1	lipase maturation factor 1	3.796	15.358
1569906_s_at	PHF20	PHD finger protein 20	-1.545	7.212
1570087_at			1.182	11.659
1570165_at			-1.158	2.947
1570248_at			-1.234	6.959
1570249_x_at			-1.048	5.817
1570255_s_at	ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1	"ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1"	4.391	18.526
1570507_at	SCAF11	SR-related CTD associated factor 11	-1.455	5.232
1598_g_at	GAS6	growth arrest specific 6	2.625	5.674
160020_at	MMP14	matrix metallopeptidase 14	-1.563	5.374
200001_at	CAPNS1	calpain small subunit 1	-1.904	7.548
200008_s_at	GDI2	GDP dissociation inhibitor 2	-4.615	12.21
200033_at	MIR5047///MIR3064///DDX5	microRNA 5047///microRNA 3064///DEAD-box helicase 5	-1.173	5.337
200037_s_at	CBX3	chromobox 3	-1.015	9.611
200039_s_at	PSMB2	proteasome subunit beta 2	-1.161	7.426
200043_at	ERH	enhancer of rudimentary homolog (Drosophila)	-1.433	9.13
200044_at	GATC///SRSF9	glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9	-1.283	10.565
200046_at	DAD1	defender against cell death 1	-1.443	9.309
200048_s_at	JTB	jumping translocation breakpoint	-1.191	9.225
200049_at	KAT7	lysine acetyltransferase 7	-1.396	2.127
200051_at	SART1	squamous cell carcinoma antigen recognized by T-cells 1	1.063	8.419
200052_s_at	ILF2	interleukin enhancer binding factor 2	-2.292	12.821
200059_s_at	RHOA	ras homolog family member A	-1.437	7.847
200065_s_at	MIR3620///ARF1	microRNA 3620///ADP ribosylation factor 1	-1.881	16.79
200075_s_at	GUK1	guanylate kinase 1	-1.707	10.835
200078_s_at	ATP6V0B	ATPase H+ transporting V0 subunit b	-2.506	11.023
200087_s_at	TMED2	transmembrane p24 trafficking protein 2	-1.018	10.173
200096_s_at	ATP6V0E1	ATPase H+ transporting V0 subunit e1	-1.411	8.195
200593_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	-1.373	13.214
200594_x_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	-1.299	8.841
200598_s_at	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1	-3.251	11.768
200604_s_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	-3.477	11.035
200605_s_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	-2.232	8.311
200606_at	DSP	desmoplakin	-1.054	3.778
200607_s_at	RAD21	RAD21 cohesin complex component	-3.569	12.551
200608_s_at	RAD21	RAD21 cohesin complex component	-1.343	7.572
200611_s_at	WDR1	WD repeat domain 1	-1.59	11.186
200614_at	CLTC	clathrin heavy chain	-1.831	7.997
200615_s_at	AP2B1	adaptor related protein complex 2 beta 1 subunit	-3.013	9.442
200621_at	CSRP1	cysteine and glycine rich protein 1	1.42	5.428
200622_x_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-1.748	9.255
200624_s_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	-1.919	11.898
200625_s_at	CAP1	adenylate cyclase associated protein 1	-1.022	9.184
200627_at	PTGES3	prostaglandin E synthase 3	-1.192	8.312
200628_s_at	WARS	tryptophanyl-tRNA synthetase	-2.965	9.119
200634_at	PFN1	profilin 1	-1.239	11.682
200637_s_at	PTPRF	"protein tyrosine phosphatase, receptor type F"	-2.608	6.179
200638_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	-3.261	16.882
200639_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	-1.239	9.456
200640_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	-2.969	12.411
200641_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	-5.47	18.742
200644_at	MARCKSL1	MARCKS like 1	-2.247	10.709
200646_s_at	NUCB1	nucleobindin 1	-2.171	6.114
200648_s_at	GLUL	glutamate-ammonia ligase	-2.698	8.484
200650_s_at	LDHA	lactate dehydrogenase A	-1.677	7.803
200656_s_at	P4HB	prolyl 4-hydroxylase subunit beta	-2.632	10.432
200657_at	SLC25A5	solute carrier family 25 member 5	-1.322	8.075
200658_s_at	PHB	prohibitin	-1.948	4.299
200660_at	S100A11	S100 calcium binding protein A11	-2.298	13.778
200661_at	CTSA	cathepsin A	-1.4	9.501
200664_s_at	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	-3.391	12.8
200668_s_at	UBE2D3	ubiquitin conjugating enzyme E2 D3	-1.451	8.734
200669_s_at	UBE2D3	ubiquitin conjugating enzyme E2 D3	-1.807	10.198
200670_at	XBP1	X-box binding protein 1	-1.685	4.821
200671_s_at	SPTBN1	"spectrin beta, non-erythrocytic 1"	1.568	6.002
200679_x_at	HMGB1	high mobility group box 1	-1.536	8.375
200682_s_at	UBE2L3	ubiquitin conjugating enzyme E2 L3	-2.177	12.339
200683_s_at	UBE2L3	ubiquitin conjugating enzyme E2 L3	-2.501	9.305
200684_s_at	UBE2L3	ubiquitin conjugating enzyme E2 L3	-1.062	4.17
200685_at	SRSF11	serine and arginine rich splicing factor 11	1.09	5.228
200691_s_at	HSPA9	heat shock protein family A (Hsp70) member 9	-1.519	9.304
200692_s_at	HSPA9	heat shock protein family A (Hsp70) member 9	-1.973	10.853
200693_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	-1.499	9.245
200695_at	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	-1.526	10.406
200696_s_at	GSN	gelsolin	2.224	10.363
200698_at	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	-2.769	17.649
200700_s_at	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	-3.184	16.992
200703_at	DYNLL1	dynein light chain LC8-type 1	-1.085	9.38
200706_s_at	LITAF	lipopolysaccharide induced TNF factor	-1.53	6.212
200708_at	GOT2	glutamic-oxaloacetic transaminase 2	-1.577	8.165
200709_at	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A	-1.112	7.113
200710_at	ACADVL	"acyl-CoA dehydrogenase, very long chain"	1.33	6.515
200712_s_at	MAPRE1	microtubule associated protein RP/EB family member 1	-4.298	17.805
200713_s_at	MAPRE1	microtubule associated protein RP/EB family member 1	-1.556	15.351
200715_x_at	SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A	"small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a"	1.351	9.31
200720_s_at	ACTR1A	"ARP1 actin-related protein 1 homolog A, centractin alpha"	-1.384	9.036
200722_s_at	CAPRIN1	cell cycle associated protein 1	-2.56	11.295
200723_s_at	CAPRIN1	cell cycle associated protein 1	-1.847	9.974
200727_s_at	ACTR2	ARP2 actin related protein 2 homolog	-3.933	14.906
200728_at	ACTR2	ARP2 actin related protein 2 homolog	-2.658	13.405
